content_type,deg_type,deg_label,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,steps_applied
scene,dark,dark_severe,3.166956943338473,7.507098057386727,4.340141114048254,0.1567361807017345,0.5341688886883503,0.3774327079866158,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_heavy,3.660948477822994,10.052761211691376,6.391812733868382,0.2404140633929669,0.8199531775516171,0.5795391141586502,['zero_dce_enhancement']
scene,dark,dark_moderate,4.750632062866755,11.687473501255337,6.936841438388582,0.4089592500871907,0.8497034049450818,0.4407441548578911,['zero_dce_enhancement']
scene,dark,dark_mild,6.681832136512219,13.32881533264315,6.646983196130932,0.6334132328451748,0.8560940801913356,0.22268084734616078,['zero_dce_enhancement']
scene,motion_blur,mblur_severe_h,23.155755786799187,23.155755786799187,0.0,0.7680125942219496,0.7680125942219496,0.0,['none_required']
scene,motion_blur,mblur_moderate_h,24.72295958936251,24.72295958936251,0.0,0.8048460056794946,0.8048460056794946,0.0,['none_required']
scene,motion_blur,mblur_moderate_d,25.576569445487152,25.576569445487152,0.0,0.8320930169902648,0.8320930169902648,0.0,['none_required']
scene,motion_blur,mblur_mild_v,25.23971104457733,25.23971104457733,0.0,0.8061825794425895,0.8061825794425895,0.0,['none_required']
scene,gaussian_blur,gblur_heavy,24.432099052570067,20.46313266414135,-3.968966388428715,0.786863200701581,0.7690944940428014,-0.01776870665877961,['wiener_deconvolution']
scene,gaussian_blur,gblur_mild,26.77814167237761,20.37993073984889,-6.39821093252872,0.8300443578791489,0.7483173923846458,-0.08172696549450309,['wiener_deconvolution']
scene,combined,combined_dark_blur,3.648331141491778,8.983495087193244,5.335163945701466,0.22942933837515925,0.663713824304814,0.43428448592965474,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,combined,combined_moderate,4.734052467733404,10.206548686386883,5.472496218653479,0.3782680924696139,0.648412340618159,0.2701442481485451,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_severe,3.027949192239354,7.498052322164581,4.470103129925226,0.16592509505647807,0.585586618823891,0.4196615237674129,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_heavy,3.522010122118232,8.916956965293268,5.3949468431750365,0.2522709832722898,0.644977117909129,0.39270613463683923,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_moderate,4.611301735404559,10.261985965120008,5.650684229715449,0.42220628963947127,0.672819037929885,0.2506127482904137,"['zero_dce_enhancement', 'wiener_deconvolution']"
